,0,1,2,3,class
0,0.222222,0.625,0.067797,0.041667,Iris-setosa
1,0.166667,0.416667,0.067797,0.041667,Iris-setosa
2,0.111111,0.5,0.050847,0.041667,Iris-setosa
3,0.083333,0.458333,0.084746,0.041667,Iris-setosa
4,0.194444,0.666667,0.067797,0.041667,Iris-setosa
5,0.305556,0.791667,0.118644,0.125,Iris-setosa
6,0.083333,0.583333,0.067797,0.083333,Iris-setosa
7,0.194444,0.583333,0.084746,0.041667,Iris-setosa
8,0.027778,0.375,0.067797,0.041667,Iris-setosa
9,0.166667,0.458333,0.084746,0.0,Iris-setosa
10,0.305556,0.708333,0.084746,0.041667,Iris-setosa
11,0.138889,0.583333,0.101695,0.041667,Iris-setosa
12,0.138889,0.416667,0.067797,0.0,Iris-setosa
13,0.0,0.416667,0.016949,0.0,Iris-setosa
14,0.416667,0.833333,0.033898,0.041667,Iris-setosa
15,0.388889,1.0,0.084746,0.125,Iris-setosa
16,0.305556,0.791667,0.050847,0.125,Iris-setosa
17,0.222222,0.625,0.067797,0.083333,Iris-setosa
18,0.388889,0.75,0.118644,0.083333,Iris-setosa
19,0.222222,0.75,0.084746,0.083333,Iris-setosa
20,0.305556,0.583333,0.118644,0.041667,Iris-setosa
21,0.222222,0.708333,0.084746,0.125,Iris-setosa
22,0.083333,0.666667,0.0,0.041667,Iris-setosa
23,0.222222,0.541667,0.118644,0.166667,Iris-setosa
24,0.138889,0.583333,0.152542,0.041667,Iris-setosa
25,0.194444,0.416667,0.101695,0.041667,Iris-setosa
26,0.194444,0.583333,0.101695,0.125,Iris-setosa
27,0.25,0.625,0.084746,0.041667,Iris-setosa
28,0.25,0.583333,0.067797,0.041667,Iris-setosa
29,0.111111,0.5,0.101695,0.041667,Iris-setosa
30,0.138889,0.458333,0.101695,0.041667,Iris-setosa
31,0.305556,0.583333,0.084746,0.125,Iris-setosa
32,0.25,0.875,0.084746,0.0,Iris-setosa
33,0.333333,0.916667,0.067797,0.041667,Iris-setosa
34,0.166667,0.458333,0.084746,0.0,Iris-setosa
35,0.194444,0.5,0.033898,0.041667,Iris-setosa
36,0.333333,0.625,0.050847,0.041667,Iris-setosa
37,0.166667,0.458333,0.084746,0.0,Iris-setosa
38,0.027778,0.416667,0.050847,0.041667,Iris-setosa
39,0.222222,0.583333,0.084746,0.041667,Iris-setosa
40,0.194444,0.625,0.050847,0.083333,Iris-setosa
41,0.055556,0.125,0.050847,0.083333,Iris-setosa
42,0.027778,0.5,0.050847,0.041667,Iris-setosa
43,0.194444,0.625,0.101695,0.208333,Iris-setosa
44,0.222222,0.75,0.152542,0.125,Iris-setosa
45,0.138889,0.416667,0.067797,0.083333,Iris-setosa
46,0.222222,0.75,0.101695,0.041667,Iris-setosa
47,0.083333,0.5,0.067797,0.041667,Iris-setosa
48,0.277778,0.708333,0.084746,0.041667,Iris-setosa
49,0.194444,0.541667,0.067797,0.041667,Iris-setosa
50,0.75,0.5,0.627119,0.541667,Iris-versicolor
51,0.583333,0.5,0.59322,0.583333,Iris-versicolor
52,0.722222,0.458333,0.661017,0.583333,Iris-versicolor
53,0.333333,0.125,0.508475,0.5,Iris-versicolor
54,0.611111,0.333333,0.610169,0.583333,Iris-versicolor
55,0.388889,0.333333,0.59322,0.5,Iris-versicolor
56,0.555556,0.541667,0.627119,0.625,Iris-versicolor
57,0.166667,0.166667,0.389831,0.375,Iris-versicolor
58,0.638889,0.375,0.610169,0.5,Iris-versicolor
59,0.25,0.291667,0.491525,0.541667,Iris-versicolor
60,0.194444,0.0,0.423729,0.375,Iris-versicolor
61,0.444444,0.416667,0.542373,0.583333,Iris-versicolor
62,0.472222,0.083333,0.508475,0.375,Iris-versicolor
63,0.5,0.375,0.627119,0.541667,Iris-versicolor
64,0.361111,0.375,0.440678,0.5,Iris-versicolor
65,0.666667,0.458333,0.576271,0.541667,Iris-versicolor
66,0.361111,0.416667,0.59322,0.583333,Iris-versicolor
67,0.416667,0.291667,0.525424,0.375,Iris-versicolor
68,0.527778,0.083333,0.59322,0.583333,Iris-versicolor
69,0.361111,0.208333,0.491525,0.416667,Iris-versicolor
71,0.5,0.333333,0.508475,0.5,Iris-versicolor
73,0.5,0.333333,0.627119,0.458333,Iris-versicolor
74,0.583333,0.375,0.559322,0.5,Iris-versicolor
75,0.638889,0.416667,0.576271,0.541667,Iris-versicolor
76,0.694444,0.333333,0.644068,0.541667,Iris-versicolor
77,0.666667,0.416667,0.677966,0.666667,Iris-versicolor
78,0.472222,0.375,0.59322,0.583333,Iris-versicolor
79,0.388889,0.25,0.423729,0.375,Iris-versicolor
80,0.333333,0.166667,0.474576,0.416667,Iris-versicolor
81,0.333333,0.166667,0.457627,0.375,Iris-versicolor
82,0.416667,0.291667,0.491525,0.458333,Iris-versicolor
84,0.305556,0.416667,0.59322,0.583333,Iris-versicolor
85,0.472222,0.583333,0.59322,0.625,Iris-versicolor
86,0.666667,0.458333,0.627119,0.583333,Iris-versicolor
87,0.555556,0.125,0.576271,0.5,Iris-versicolor
88,0.361111,0.416667,0.525424,0.5,Iris-versicolor
89,0.333333,0.208333,0.508475,0.5,Iris-versicolor
90,0.333333,0.25,0.576271,0.458333,Iris-versicolor
91,0.5,0.416667,0.610169,0.541667,Iris-versicolor
92,0.416667,0.25,0.508475,0.458333,Iris-versicolor
93,0.194444,0.125,0.389831,0.375,Iris-versicolor
94,0.361111,0.291667,0.542373,0.5,Iris-versicolor
95,0.388889,0.416667,0.542373,0.458333,Iris-versicolor
96,0.388889,0.375,0.542373,0.5,Iris-versicolor
97,0.527778,0.375,0.559322,0.5,Iris-versicolor
98,0.222222,0.208333,0.338983,0.416667,Iris-versicolor
99,0.388889,0.333333,0.525424,0.5,Iris-versicolor
100,0.555556,0.541667,0.847458,1.0,Iris-virginica
101,0.416667,0.291667,0.694915,0.75,Iris-virginica
102,0.777778,0.416667,0.830508,0.833333,Iris-virginica
103,0.555556,0.375,0.779661,0.708333,Iris-virginica
104,0.611111,0.416667,0.813559,0.875,Iris-virginica
105,0.916667,0.416667,0.949153,0.833333,Iris-virginica
107,0.833333,0.375,0.898305,0.708333,Iris-virginica
108,0.666667,0.208333,0.813559,0.708333,Iris-virginica
109,0.805556,0.666667,0.864407,1.0,Iris-virginica
110,0.611111,0.5,0.694915,0.791667,Iris-virginica
111,0.583333,0.291667,0.728814,0.75,Iris-virginica
112,0.694444,0.416667,0.762712,0.833333,Iris-virginica
113,0.388889,0.208333,0.677966,0.791667,Iris-virginica
114,0.416667,0.333333,0.694915,0.958333,Iris-virginica
115,0.583333,0.5,0.728814,0.916667,Iris-virginica
116,0.611111,0.416667,0.762712,0.708333,Iris-virginica
117,0.944444,0.75,0.966102,0.875,Iris-virginica
118,0.944444,0.25,1.0,0.916667,Iris-virginica
120,0.722222,0.5,0.79661,0.916667,Iris-virginica
121,0.361111,0.333333,0.661017,0.791667,Iris-virginica
122,0.944444,0.333333,0.966102,0.791667,Iris-virginica
123,0.555556,0.291667,0.661017,0.708333,Iris-virginica
124,0.666667,0.541667,0.79661,0.833333,Iris-virginica
125,0.805556,0.5,0.847458,0.708333,Iris-virginica
126,0.527778,0.333333,0.644068,0.708333,Iris-virginica
127,0.5,0.416667,0.661017,0.708333,Iris-virginica
128,0.583333,0.333333,0.779661,0.833333,Iris-virginica
129,0.805556,0.416667,0.813559,0.625,Iris-virginica
130,0.861111,0.333333,0.864407,0.75,Iris-virginica
131,1.0,0.75,0.915254,0.791667,Iris-virginica
132,0.583333,0.333333,0.779661,0.875,Iris-virginica
135,0.944444,0.416667,0.864407,0.916667,Iris-virginica
136,0.555556,0.583333,0.779661,0.958333,Iris-virginica
137,0.583333,0.458333,0.762712,0.708333,Iris-virginica
138,0.472222,0.416667,0.644068,0.708333,Iris-virginica
139,0.722222,0.458333,0.745763,0.833333,Iris-virginica
140,0.666667,0.458333,0.779661,0.958333,Iris-virginica
141,0.722222,0.458333,0.694915,0.916667,Iris-virginica
142,0.416667,0.291667,0.694915,0.75,Iris-virginica
143,0.694444,0.5,0.830508,0.916667,Iris-virginica
144,0.666667,0.541667,0.79661,1.0,Iris-virginica
145,0.666667,0.416667,0.711864,0.916667,Iris-virginica
146,0.555556,0.208333,0.677966,0.75,Iris-virginica
147,0.611111,0.416667,0.711864,0.791667,Iris-virginica
148,0.527778,0.583333,0.745763,0.916667,Iris-virginica
149,0.444444,0.416667,0.694915,0.708333,Iris-virginica
